site,year,sand,cinput,ligfrac,nfrac,till
1,1990,0.49,769.3686,0.06,0.015,NT
1,1991,0.49,775.1016,0.06,0.015,NT
1,1992,0.49,661.33242,0.06,0.015,NT
1,1993,0.49,726.279372,0.06,0.015,NT
1,1994,0.49,602.61327,0.06,0.015,NT
1,1995,0.49,500.022558,0.06,0.015,NT
1,1996,0.49,519.454782,0.06,0.015,NT
1,1997,0.49,763.286328,0.06,0.015,NT
1,1998,0.49,632.404584,0.06,0.015,NT
1,1999,0.49,639.977436,0.06,0.015,NT
1,2000,0.49,666.625302,0.06,0.015,NT
1,2001,0.49,798.650118,0.06,0.015,NT
1,2002,0.49,694.05903,0.06,0.015,NT
1,2003,0.49,324.561006,0.06,0.015,NT
1,2004,0.49,617.61609,0.06,0.015,NT
1,2005,0.49,638.762922,0.06,0.015,NT
1,2006,0.49,707.561568,0.06,0.015,NT
1,2007,0.49,587.753334,0.06,0.015,NT
1,2008,0.49,407.005074,0.06,0.015,NT
1,2009,0.49,574.536564,0.06,0.015,NT
1,2010,0.49,451.370556,0.06,0.015,NT
1,2011,0.49,385.7868,0.06,0.015,NT
1,2012,0.49,909.313776,0.06,0.015,NT
1,2013,0.49,378.213948,0.06,0.015,NT
1,2014,0.49,623.831544,0.06,0.015,NT
1,2015,0.49,657.2664,0.06,0.015,NT
1,2016,0.49,507.0618,0.06,0.015,NT
1,2017,0.49,605.8458,0.06,0.015,NT
